System,Rise Time (s),Settling Time (s),Overshoot (%),Steady-State Value,Undamped Natural Freq (rad/s),Damping Ratio,Poles
filtered_velocity_19,1.027,2.03,120.681,0.915,64.667,0.04,"((-2.5866800000000003+64.61524568998867j), (-2.5866800000000003-64.61524568998867j))"
filtered_velocity_20,1.019,1.8,128.534,0.9,58.946,0.055,"((-3.2420299999999997+58.856776648735185j), (-3.2420299999999997-58.856776648735185j))"
filtered_velocity_1,0.95,1.99,156.446,0.918,39.808,0.045,"((-1.7913599999999998+39.767673974604044j), (-1.7913599999999998-39.767673974604044j))"
filtered_velocity_2,0.04,1.94,144.972,0.911,48.095,0.69,"((-33.18555+34.81161151394029j), (-33.18555-34.81161151394029j))"
filtered_velocity_3,0.931,1.51,152.639,0.92,38.387,0.029,"((-1.113223+38.37085487127269j), (-1.113223-38.37085487127269j))"
filtered_velocity_4,0.947,1.94,152.149,0.921,41.355,0.027,"((-1.116585+41.33992335428036j), (-1.116585-41.33992335428036j))"
filtered_velocity_5,0.956,1.94,153.003,0.917,42.144,0.038,"((-1.601472+42.11356103956558j), (-1.601472-42.11356103956558j))"
filtered_velocity_6,0.937,1.96,154.781,0.925,42.899,0.035,"((-1.5014650000000003+42.87271631065351j), (-1.5014650000000003-42.87271631065351j))"
filtered_velocity_7,0.95,1.79,154.649,0.918,36.607,0.035,"((-1.2812450000000002+36.58457134161852j), (-1.2812450000000002-36.58457134161852j))"
filtered_velocity_8,0.95,1.77,153.282,0.91,47.165,0.059,"((-2.7827349999999997+47.08283775347207j), (-2.7827349999999997-47.08283775347207j))"
filtered_velocity_9,0.034,1.989,158.144,0.91,50.6,0.693,"((-35.065799999999996+36.47944174956629j), (-35.065799999999996-36.47944174956629j))"
filtered_velocity_10,0.038,1.91,154.979,0.909,51.097,0.696,"((-35.563511999999996+36.68978091002802j), (-35.563511999999996-36.68978091002802j))"
filtered_velocity_11,0.945,1.89,157.59,0.899,47.769,0.641,"((-30.619929+36.66466021982147j), (-30.619929-36.66466021982147j))"
filtered_velocity_12,0.955,2.02,156.755,0.916,39.903,0.041,"((-1.636023+39.869447422098425j), (-1.636023-39.869447422098425j))"
filtered_velocity_13,0.952,1.97,150.166,0.93,40.089,0.033,"((-1.322937+40.06716559346357j), (-1.322937-40.06716559346357j))"
filtered_velocity_14,0.958,2.61,152.531,0.92,38.868,0.035,"((-1.3603800000000001+38.84418605474441j), (-1.3603800000000001-38.84418605474441j))"
filtered_velocity_15,0.039,1.779,152.597,0.907,37.892,0.101,"((-3.8270920000000004+37.69823644182226j), (-3.8270920000000004-37.69823644182226j))"
filtered_velocity_16,0.953,1.93,153.487,0.916,41.387,0.047,"((-1.945189+41.34126278615929j), (-1.945189-41.34126278615929j))"
filtered_velocity_17,0.039,1.8,154.484,0.9,33.484,0.09,"((-3.01356+33.34811407150935j), (-3.01356-33.34811407150935j))"
filtered_velocity_18,0.95,1.92,158.698,0.909,45.646,0.053,"((-2.419238+45.581845108544655j), (-2.419238-45.581845108544655j))"
filtered_velocity_19,0.953,2.18,148.301,0.935,41.279,0.034,"((-1.4034860000000002+41.255133838684905j), (-1.4034860000000002-41.255133838684905j))"
filtered_velocity_20,0.945,1.99,150.39,0.924,40.824,0.035,"((-1.42884+40.7989876376167j), (-1.42884-40.7989876376167j))"
filtered_velocity_1,0.037,2.3,163.306,0.937,46.79,0.101,"((-4.72579+46.5507358575125j), (-4.72579-46.5507358575125j))"
filtered_velocity_2,0.401,2.02,159.909,0.936,35.357,0.006,"((-0.212142+35.35636356827206j), (-0.212142-35.35636356827206j))"
filtered_velocity_3,0.035,2.93,164.503,0.911,48.52,0.089,"((-4.31828+48.327454493709894j), (-4.31828-48.327454493709894j))"
filtered_velocity_4,0.036,1.849,162.65,0.926,47.539,0.1,"((-4.753900000000001+47.30070777261161j), (-4.753900000000001-47.30070777261161j))"
filtered_velocity_5,0.036,2.2,166.905,0.93,38.775,0.01,"((-0.38775+38.773061201528826j), (-0.38775-38.773061201528826j))"
filtered_velocity_6,0.034,1.99,168.977,0.929,41.952,0.663,"((-27.814176+31.40608089910334j), (-27.814176-31.40608089910334j))"
filtered_velocity_7,0.035,2.449,171.99,0.919,38.308,0.664,"((-25.436512+28.644139387907185j), (-25.436512-28.644139387907185j))"
filtered_velocity_8,0.036,2.73,166.2,0.93,37.665,0.103,"((-3.879495+37.46467327423229j), (-3.879495-37.46467327423229j))"
filtered_velocity_9,0.034,2.43,169.106,0.92,40.7,0.663,"((-26.9841+30.46880941536771j), (-26.9841-30.46880941536771j))"
filtered_velocity_10,0.037,2.4,165.899,0.923,34.212,0.095,"((-3.2501400000000005+34.05726844566957j), (-3.2501400000000005-34.05726844566957j))"
filtered_velocity_11,0.036,2.46,165.272,0.947,49.565,0.0,"((-0+49.565j), (-0-49.565j))"
filtered_velocity_12,0.036,2.68,166.935,0.921,45.746,0.077,"((-3.5224420000000003+45.61018437100026j), (-3.5224420000000003-45.61018437100026j))"
filtered_velocity_13,0.036,2.01,165.872,0.924,39.898,0.666,"((-26.572068000000005+29.761982565067406j), (-26.572068000000005-29.761982565067406j))"
filtered_velocity_14,0.034,2.18,170.441,0.921,51.715,0.67,"((-34.64905+38.3912041892085j), (-34.64905-38.3912041892085j))"
filtered_velocity_15,0.034,2.0,170.068,0.913,31.027,0.09,"((-2.79243+30.901085154005514j), (-2.79243-30.901085154005514j))"
filtered_velocity_16,0.036,2.84,165.652,0.933,42.44,0.662,"((-28.09528+31.80894279478021j), (-28.09528-31.80894279478021j))"
filtered_velocity_17,0.035,2.64,168.913,0.922,41.856,0.097,"((-4.0600320000000005+41.658623070847845j), (-4.0600320000000005-41.658623070847845j))"
filtered_velocity_18,0.035,2.43,169.204,0.916,40.767,0.672,"((-27.395424000000002+30.190048573333303j), (-27.395424000000002-30.190048573333303j))"
filtered_velocity_19,0.034,2.38,177.535,0.897,39.342,0.061,"((-2.3998619999999997+39.268735991637875j), (-2.3998619999999997-39.268735991637875j))"
filtered_velocity_20,0.034,2.501,171.924,0.905,35.931,0.069,"((-2.479239+35.845364204885385j), (-2.479239-35.845364204885385j))"
filtered_velocity_1,1.0,3.4,168.19,0.931,57.795,0.628,"((-36.29526+44.97683989046362j), (-36.29526-44.97683989046362j))"
filtered_velocity_2,1.911,2.69,159.57,0.949,43.986,0.482,"((-21.201251999999997+38.539267113328656j), (-21.201251999999997-38.539267113328656j))"
filtered_velocity_3,0.99,3.35,170.394,0.918,42.682,0.104,"((-4.438928+42.45054819682328j), (-4.438928-42.45054819682328j))"
filtered_velocity_4,0.037,3.03,163.875,0.945,35.271,0.104,"((-3.668184+35.07973584766773j), (-3.668184-35.07973584766773j))"
filtered_velocity_5,0.032,3.149,174.574,0.914,37.261,0.002,"((-0.074522+37.26092547792548j), (-0.074522-37.26092547792548j))"
filtered_velocity_6,0.034,2.699,171.109,0.892,32.097,0.018,"((-0.577746+32.09179986475492j), (-0.577746-32.09179986475492j))"
filtered_velocity_7,0.494,2.39,173.163,0.744,37.474,0.453,"((-16.975721999999998+33.40846507367131j), (-16.975721999999998-33.40846507367131j))"
filtered_velocity_8,0.035,2.709,168.73,0.954,41.054,0.005,"((-0.20527+41.05348682179262j), (-0.20527-41.05348682179262j))"
filtered_velocity_9,0.956,3.33,165.154,0.941,41.526,0.09,"((-3.73734+41.35747774858134j), (-3.73734-41.35747774858134j))"
filtered_velocity_10,0.033,3.16,173.029,0.893,35.676,0.03,"((-1.0702800000000001+35.6599421861786j), (-1.0702800000000001-35.6599421861786j))"
filtered_velocity_11,2.422,,175.841,0.909,36.396,0.02,"((-0.72792+36.38872007193438j), (-0.72792-36.38872007193438j))"
filtered_velocity_12,0.035,3.329,163.993,0.953,48.102,0.627,"((-30.159954+37.472384214483654j), (-30.159954-37.472384214483654j))"
filtered_velocity_13,0.036,2.93,161.363,0.98,32.717,0.007,"((-0.229019+32.71619842368057j), (-0.229019-32.71619842368057j))"
filtered_velocity_14,1.428,3.4,160.237,0.97,41.162,0.214,"((-8.808667999999999+40.20842712747884j), (-8.808667999999999-40.20842712747884j))"
filtered_velocity_15,0.033,3.17,165.968,0.948,52.654,0.625,"((-32.908750000000005+41.10301557595866j), (-32.908750000000005-41.10301557595866j))"
filtered_velocity_16,0.041,2.58,158.162,0.974,43.176,0.666,"((-28.755216000000004+32.207212372283074j), (-28.755216000000004-32.207212372283074j))"
filtered_velocity_17,1.425,3.38,151.744,1.038,45.818,0.638,"((-29.231884+35.28152606975135j), (-29.231884-35.28152606975135j))"
filtered_velocity_18,1.953,2.64,152.151,0.985,42.7,0.026,"((-1.1102+42.68556496006583j), (-1.1102-42.68556496006583j))"
filtered_velocity_19,1.455,2.99,158.091,0.989,37.296,0.168,"((-6.265728+36.765911774767886j), (-6.265728-36.765911774767886j))"
filtered_velocity_20,1.405,3.17,162.803,0.965,41.658,0.03,"((-1.24974+41.63924968022839j), (-1.24974-41.63924968022839j))"
