System,Rise Time (s),Settling Time (s),Overshoot (%),Steady-State Value,Undamped Natural Freq (rad/s),Damping Ratio,Poles
filtered_velocity_4,0.57,1.4,126.349,0.909,99.757,0.579,"((-57.759302999999996+81.33462956179362j), (-57.759302999999996-81.33462956179362j))"
filtered_velocity_5,0.574,1.43,129.615,0.914,94.7,0.589,"((-55.7783+76.5301982821814j), (-55.7783-76.5301982821814j))"
filtered_velocity_6,0.044,1.439,126.311,0.901,101.85,0.671,"((-68.34135+75.51743096913123j), (-68.34135-75.51743096913123j))"
filtered_velocity_7,0.573,1.43,120.795,0.923,76.547,0.012,"((-0.9185639999999999+76.54148841757589j), (-0.9185639999999999-76.54148841757589j))"
filtered_velocity_8,0.576,1.481,124.512,0.912,96.567,0.587,"((-56.68482899999999+78.17938123470127j), (-56.68482899999999-78.17938123470127j))"
filtered_velocity_9,1.028,1.399,124.521,0.904,100.377,0.637,"((-63.940149+77.37699577301899j), (-63.940149-77.37699577301899j))"
filtered_velocity_10,0.042,1.42,132.696,0.9,115.943,0.74,"((-85.79782+77.98405819298968j), (-85.79782-77.98405819298968j))"
filtered_velocity_11,1.04,1.42,129.351,0.916,93.967,0.61,"((-57.319869999999995+74.45958361542924j), (-57.319869999999995-74.45958361542924j))"
filtered_velocity_12,1.048,1.47,128.79,0.909,101.124,0.632,"((-63.910368+78.36790311157097j), (-63.910368-78.36790311157097j))"
filtered_velocity_13,0.573,1.41,130.075,0.917,95.786,0.59,"((-56.51374+77.33792722340314j), (-56.51374-77.33792722340314j))"
filtered_velocity_14,0.041,1.41,133.315,0.896,81.32,0.1,"((-8.132+80.91237838551032j), (-8.132-80.91237838551032j))"
filtered_velocity_15,0.568,1.429,125.436,0.916,73.94,0.022,"((-1.62668+73.92210435436479j), (-1.62668-73.92210435436479j))"
filtered_velocity_16,0.042,1.655,131.388,0.907,78.848,0.088,"((-6.938624+78.5421071845327j), (-6.938624-78.5421071845327j))"
filtered_velocity_17,0.041,1.46,131.128,0.887,77.786,0.091,"((-7.078526+77.46325752037106j), (-7.078526-77.46325752037106j))"
filtered_velocity_18,1.053,1.46,131.869,0.906,76.241,0.044,"((-3.3546039999999997+76.16716295755792j), (-3.3546039999999997-76.16716295755792j))"
filtered_velocity_19,0.042,1.43,131.58,0.898,102.489,0.687,"((-70.40994300000001+74.47439189235955j), (-70.40994300000001-74.47439189235955j))"
filtered_velocity_20,1.04,1.43,130.69,0.916,95.5,0.633,"((-60.4515+73.93149631753708j), (-60.4515-73.93149631753708j))"
filtered_velocity_2,0.95,1.37,145.247,0.904,56.977,0.007,"((-0.398839+56.975604046399354j), (-0.398839-56.975604046399354j))"
filtered_velocity_3,0.979,1.6,140.612,0.915,56.701,0.018,"((-1.020618+56.69181369384892j), (-1.020618-56.69181369384892j))"
filtered_velocity_4,0.524,1.3,144.752,0.925,57.017,0.038,"((-2.166646+56.97581885423573j), (-2.166646-56.97581885423573j))"
filtered_velocity_5,0.037,1.38,148.996,0.892,59.142,0.099,"((-5.8550580000000005+58.851460982856125j), (-5.8550580000000005-58.851460982856125j))"
filtered_velocity_6,0.94,1.37,145.833,0.91,56.833,0.004,"((-0.227332+56.832545334181326j), (-0.227332-56.832545334181326j))"
filtered_velocity_7,0.938,1.37,145.281,0.908,57.853,0.005,"((-0.289265+57.85227683298017j), (-0.289265-57.85227683298017j))"
filtered_velocity_8,0.97,1.31,143.441,0.912,57.155,0.079,"((-4.515245+56.976368676759094j), (-4.515245-56.976368676759094j))"
filtered_velocity_9,0.977,1.55,148.061,0.91,58.033,0.079,"((-4.584607+57.85162458959602j), (-4.584607-57.85162458959602j))"
filtered_velocity_10,0.974,1.33,142.769,0.918,55.961,0.002,"((-0.111922+55.96088807788808j), (-0.111922-55.96088807788808j))"
filtered_velocity_11,0.967,1.59,141.357,0.925,55.334,0.01,"((-0.55334+55.33123323082904j), (-0.55334-55.33123323082904j))"
filtered_velocity_12,0.947,1.52,157.745,0.933,57.015,0.037,"((-2.109555+56.97595986643819j), (-2.109555-56.97595986643819j))"
filtered_velocity_13,0.971,1.35,147.86,0.914,57.921,0.048,"((-2.780208+57.85423653006525j), (-2.780208-57.85423653006525j))"
filtered_velocity_14,0.968,1.52,139.659,0.918,55.67,0.003,"((-0.16701000000000002+55.66974948443634j), (-0.16701000000000002-55.66974948443634j))"
filtered_velocity_15,0.96,1.37,143.267,0.922,54.772,0.003,"((-0.164316+54.771753525445426j), (-0.164316-54.771753525445426j))"
filtered_velocity_16,0.037,1.32,140.554,0.912,57.997,0.0,"((-0+57.997j), (-0-57.997j))"
filtered_velocity_17,0.04,1.35,139.849,0.903,75.0,0.679,"((-50.925000000000004+55.06037027663363j), (-50.925000000000004-55.06037027663363j))"
filtered_velocity_18,0.964,1.53,157.232,0.91,62.498,0.097,"((-6.0623059999999995+62.20328327317107j), (-6.0623059999999995-62.20328327317107j))"
filtered_velocity_19,0.039,1.589,139.949,0.898,59.457,0.096,"((-5.707872+59.18238797337951j), (-5.707872-59.18238797337951j))"
filtered_velocity_20,0.976,1.38,143.218,0.909,53.683,0.005,"((-0.268415+53.68232895830596j), (-0.268415-53.68232895830596j))"
