System,Rise Time (s),Settling Time (s),Overshoot (%),Steady-State Value,Undamped Natural Freq (rad/s),Damping Ratio,Poles
filtered_velocity_13,0.037,3.01,165.939,0.978,74.337,0.022,"((-1.635414+74.31900826873704j), (-1.635414-74.31900826873704j))"
filtered_velocity_14,0.037,3.05,160.622,0.988,79.223,0.037,"((-2.9312509999999996+79.16875328420298j), (-2.9312509999999996-79.16875328420298j))"
filtered_velocity_15,0.034,3.05,169.159,0.955,70.601,0.034,"((-2.400434+70.56018082184627j), (-2.400434-70.56018082184627j))"
filtered_velocity_16,0.037,3.06,160.223,0.97,72.862,0.032,"((-2.331584+72.82468510093912j), (-2.331584-72.82468510093912j))"
filtered_velocity_17,0.038,3.07,161.437,0.985,67.411,0.031,"((-2.089741+67.37860122882427j), (-2.089741-67.37860122882427j))"
filtered_velocity_18,0.039,3.07,158.263,1.001,67.406,0.028,"((-1.8873680000000002+67.37957166703107j), (-1.8873680000000002-67.37957166703107j))"
filtered_velocity_19,0.036,3.091,161.522,0.98,66.261,0.03,"((-1.9878299999999998+66.23117583805302j), (-1.9878299999999998-66.23117583805302j))"
filtered_velocity_20,0.034,2.67,166.872,0.954,72.851,0.024,"((-1.748424+72.83001588985289j), (-1.748424-72.83001588985289j))"
filtered_velocity_1,3.988,,302.306,0.538,23.579,0.102,"((-2.405058+23.456021338168927j), (-2.405058-23.456021338168927j))"
filtered_velocity_2,3.987,,96.36,0.782,24.624,0.192,"((-4.727808+24.16586864805683j), (-4.727808-24.16586864805683j))"
filtered_velocity_3,0.044,,83.939,1.528,24.157,0.066,"((-1.594362+24.10432863228005j), (-1.594362-24.10432863228005j))"
filtered_velocity_4,0.552,3.53,86.27,1.149,52.851,0.049,"((-2.589699+52.7875142442737j), (-2.589699-52.7875142442737j))"
filtered_velocity_5,3.999,,545.904,0.24,24.429,0.191,"((-4.665939+23.979263004693845j), (-4.665939-23.979263004693845j))"
filtered_velocity_6,0.035,,154.975,0.987,43.468,0.093,"((-4.042524+43.27961441267036j), (-4.042524-43.27961441267036j))"
filtered_velocity_7,0.047,2.79,43.856,1.623,57.571,0.008,"((-0.460568+57.5691576985227j), (-0.460568-57.5691576985227j))"
filtered_velocity_8,0.035,,160.644,0.971,26.183,0.001,"((-0.026183+26.182986908496726j), (-0.026183-26.182986908496726j))"
filtered_velocity_9,0.124,3.46,98.524,1.319,47.182,0.027,"((-1.273914+47.16479902555087j), (-1.273914-47.16479902555087j))"
filtered_velocity_10,0.032,3.97,162.821,0.962,32.094,0.004,"((-0.12837600000000002+32.093743246972984j), (-0.12837600000000002-32.093743246972984j))"
filtered_velocity_11,0.034,,167.656,0.915,37.06,0.013,"((-0.48178+37.05686829767999j), (-0.48178-37.05686829767999j))"
filtered_velocity_12,0.06,2.5,55.11,2.149,61.199,0.027,"((-1.6523729999999999+61.17668889756025j), (-1.6523729999999999-61.17668889756025j))"
filtered_velocity_13,2.433,3.44,154.141,1.011,67.608,0.68,"((-45.973440000000004+49.5710044135319j), (-45.973440000000004-49.5710044135319j))"
filtered_velocity_14,0.06,2.53,60.694,2.043,51.55,0.031,"((-1.59805+51.52522427120041j), (-1.59805-51.52522427120041j))"
filtered_velocity_15,0.05,2.51,36.033,1.762,58.749,0.003,"((-0.17624700000000001+58.748735628905166j), (-0.17624700000000001-58.748735628905166j))"
filtered_velocity_16,2.407,3.61,145.518,0.988,58.679,0.469,"((-27.520450999999998+51.82518516857031j), (-27.520450999999998-51.82518516857031j))"
filtered_velocity_17,0.037,3.1,158.589,0.979,64.195,0.023,"((-1.4764849999999998+64.17801817635673j), (-1.4764849999999998-64.17801817635673j))"
filtered_velocity_18,0.03,3.83,182.516,0.885,45.606,0.011,"((-0.501666+45.60324075353027j), (-0.501666-45.60324075353027j))"
filtered_velocity_19,0.055,2.09,33.64,1.863,78.14,0.017,"((-1.3283800000000001+78.12870795409073j), (-1.3283800000000001-78.12870795409073j))"
filtered_velocity_20,0.059,2.97,39.774,1.715,56.522,0.014,"((-0.791308+56.51646057255475j), (-0.791308-56.51646057255475j))"
