System,Rise Time (s),Settling Time (s),Overshoot (%),Steady-State Value,Undamped Natural Freq (rad/s),Damping Ratio,Poles
filtered_velocity_16,0.039,1.96,157.601,0.912,34.667,0.1,"((-3.4667000000000003+34.493229482175195j), (-3.4667000000000003-34.493229482175195j))"
filtered_velocity_17,0.038,2.47,164.751,0.911,32.364,0.095,"((-3.0745799999999996+32.217626446149005j), (-3.0745799999999996-32.217626446149005j))"
filtered_velocity_18,0.04,3.63,160.369,0.922,45.814,0.652,"((-29.870728+34.73704369617564j), (-29.870728-34.73704369617564j))"
filtered_velocity_19,0.963,2.21,154.195,0.931,39.437,0.056,"((-2.208472+39.3751142274561j), (-2.208472-39.3751142274561j))"
filtered_velocity_20,0.038,2.21,160.091,0.901,31.809,0.091,"((-2.894619+31.677021038046476j), (-2.894619-31.677021038046476j))"
filtered_velocity_1,0.034,2.45,176.152,0.913,28.072,0.041,"((-1.150952+28.048395560061827j), (-1.150952-28.048395560061827j))"
filtered_velocity_2,0.034,2.639,175.421,0.931,33.664,0.019,"((-0.639616+33.65792309951023j), (-0.639616-33.65792309951023j))"
filtered_velocity_3,0.034,2.65,173.414,0.917,33.594,0.047,"((-1.578918+33.55687491333596j), (-1.578918-33.55687491333596j))"
filtered_velocity_4,0.034,2.33,170.97,0.934,69.626,0.668,"((-46.51016800000001+51.81297278299881j), (-46.51016800000001-51.81297278299881j))"
filtered_velocity_5,0.036,2.44,168.96,0.939,32.496,0.614,"((-19.952544+25.649288565729538j), (-19.952544-25.649288565729538j))"
filtered_velocity_6,0.034,2.84,174.672,0.927,33.799,0.034,"((-1.1491660000000001+33.779458528881776j), (-1.1491660000000001-33.779458528881776j))"
filtered_velocity_7,0.036,2.66,166.711,0.946,31.775,0.006,"((-0.19065+31.774428044852357j), (-0.19065-31.774428044852357j))"
filtered_velocity_8,0.035,2.66,170.116,0.927,32.298,0.044,"((-1.421112+32.2667203893339j), (-1.421112-32.2667203893339j))"
filtered_velocity_9,0.032,2.62,181.068,0.886,29.678,0.036,"((-1.068408+29.658762421003612j), (-1.068408-29.658762421003612j))"
filtered_velocity_10,0.033,2.62,174.666,0.937,33.876,0.027,"((-0.9146519999999999+33.86364994679244j), (-0.9146519999999999-33.86364994679244j))"
filtered_velocity_11,0.033,2.45,174.3,0.926,32.289,0.618,"((-19.954602+25.38490456987373j), (-19.954602-25.38490456987373j))"
filtered_velocity_12,0.036,3.071,169.457,0.952,45.481,0.002,"((-0.090962+45.480909037909036j), (-0.090962-45.480909037909036j))"
